Zeit;Leistung
01.01.2020 00:15;212
01.01.2020 00:30;216
01.01.2020 00:45;212
01.01.2020 01:00;212
01.01.2020 01:15;208
01.01.2020 01:30;212
01.01.2020 01:45;208
01.01.2020 02:00;208
01.01.2020 02:15;208
01.01.2020 02:30;212
01.01.2020 02:45;208
01.01.2020 03:00;208
01.01.2020 03:15;208
01.01.2020 03:30;212
01.01.2020 03:45;208
01.01.2020 04:00;212
01.01.2020 04:15;208
01.01.2020 04:30;212
01.01.2020 04:45;212
01.01.2020 05:00;212
01.01.2020 05:15;212
01.01.2020 05:30;216
01.01.2020 05:45;216
01.01.2020 06:00;220
01.01.2020 06:15;224
01.01.2020 06:30;224
01.01.2020 06:45;224
01.01.2020 07:00;224
01.01.2020 07:15;220
01.01.2020 07:30;224
01.01.2020 07:45;220
01.01.2020 08:00;220
01.01.2020 08:15;220
01.01.2020 08:30;220
01.01.2020 08:45;220
01.01.2020 09:00;216
01.01.2020 09:15;216
01.01.2020 09:30;216
01.01.2020 09:45;220
01.01.2020 10:00;216
01.01.2020 10:15;220
01.01.2020 10:30;216
01.01.2020 10:45;216
01.01.2020 11:00;216
01.01.2020 11:15;216
01.01.2020 11:30;216
01.01.2020 11:45;212
01.01.2020 12:00;212
01.01.2020 12:15;220
01.01.2020 12:30;220
01.01.2020 12:45;220
01.01.2020 13:00;220
01.01.2020 13:15;212
01.01.2020 13:30;212
01.01.2020 13:45;216
01.01.2020 14:00;216
01.01.2020 14:15;220
01.01.2020 14:30;212
01.01.2020 14:45;212
01.01.2020 15:00;216
01.01.2020 15:15;216
01.01.2020 15:30;216
01.01.2020 15:45;216
01.01.2020 16:00;220
01.01.2020 16:15;220
01.01.2020 16:30;220
01.01.2020 16:45;224
01.01.2020 17:00;220
01.01.2020 17:15;224
01.01.2020 17:30;228
01.01.2020 17:45;224
01.01.2020 18:00;228
01.01.2020 18:15;228
01.01.2020 18:30;232
01.01.2020 18:45;232
01.01.2020 19:00;228
01.01.2020 19:15;232
01.01.2020 19:30;228
01.01.2020 19:45;224
01.01.2020 20:00;228
01.01.2020 20:15;224
01.01.2020 20:30;224
01.01.2020 20:45;228
01.01.2020 21:00;224
01.01.2020 21:15;228
01.01.2020 21:30;224
01.01.2020 21:45;228
01.01.2020 22:00;224
01.01.2020 22:15;224
01.01.2020 22:30;228
01.01.2020 22:45;224
01.01.2020 23:00;224
01.01.2020 23:15;220
01.01.2020 23:30;216
01.01.2020 23:45;224
02.01.2020 00:00;220
02.01.2020 00:15;224
02.01.2020 00:30;224
02.01.2020 00:45;224
02.01.2020 01:00;224
02.01.2020 01:15;216
02.01.2020 01:30;224
02.01.2020 01:45;216
02.01.2020 02:00;220
02.01.2020 02:15;220
02.01.2020 02:30;220
02.01.2020 02:45;216
02.01.2020 03:00;220
02.01.2020 03:15;224
02.01.2020 03:30;220
02.01.2020 03:45;220
02.01.2020 04:00;220
02.01.2020 04:15;220
02.01.2020 04:30;220
02.01.2020 04:45;220
02.01.2020 05:00;224
02.01.2020 05:15;228
02.01.2020 05:30;304
02.01.2020 05:45;284
02.01.2020 06:00;288
02.01.2020 06:15;304
02.01.2020 06:30;312
02.01.2020 06:45;316
02.01.2020 07:00;340
02.01.2020 07:15;332
02.01.2020 07:30;332
02.01.2020 07:45;340
02.01.2020 08:00;344
02.01.2020 08:15;340
02.01.2020 08:30;336
02.01.2020 08:45;336
02.01.2020 09:00;336
02.01.2020 09:15;336
02.01.2020 09:30;336
02.01.2020 09:45;332
02.01.2020 10:00;328
02.01.2020 10:15;320
02.01.2020 10:30;312
02.01.2020 10:45;312
02.01.2020 11:00;300
02.01.2020 11:15;292
02.01.2020 11:30;292
02.01.2020 11:45;296
02.01.2020 12:00;296
02.01.2020 12:15;304
02.01.2020 12:30;296
02.01.2020 12:45;300
02.01.2020 13:00;304
02.01.2020 13:15;296
02.01.2020 13:30;292
02.01.2020 13:45;280
02.01.2020 14:00;284
02.01.2020 14:15;284
02.01.2020 14:30;284
02.01.2020 14:45;292
02.01.2020 15:00;268
02.01.2020 15:15;240
